"","CU_SReg","CU_Beg","CU_End"
"1","01a","1","250000"
"2","01b","250001","5e+05"
"3","01c","500001","750000"
"4","01d","750001","1e+06"
"5","01e","1000001","1250000"
"6","01f","1250001","1500000"
"7","01g","1500001","1768582"
"8","05a","1768583","1991359"
"9","05b","1991360","2241359"
"10","05c","2241360","2645523"
"11","09c","2645524","2977904"
"12","09b","2977905","3227904"
"13","09a","3227905","3537579"
"14","08l","3537580","3977904"
"15","08k","3977905","4227904"
"16","08j","4227905","4477904"
"17","08i","4477905","4727904"
"18","08h","4727905","4977904"
"19","08g","4977905","5227904"
"20","08f","5227905","5477904"
"21","08e","5477905","5727904"
"22","08d","5727905","5977904"
"23","08c","5977905","6227904"
"24","08b","6227905","6477904"
"25","08a","6477905","6851730"
"26","07e","6851731","7227904"
"27","07d","7227905","7477904"
"28","07c","7477905","7727904"
"29","07b","7727905","7977904"
"30","07a","7977905","8314224"
"31","13a","8314225","8496490"
"32","03q","8496491","8815092"
"33","03p","8815093","9065092"
"34","03o","9065093","9315092"
"35","03n","9315093","9565092"
"36","03m","9565093","9815092"
"37","03l","9815093","10065092"
"38","03k","10065093","10315092"
"39","03j","10315093","10565092"
"40","03i","10565093","10815092"
"41","03h","10815093","11065092"
"42","03g","11065093","11315092"
"43","03f","11315093","11565092"
"44","03e","11565093","11815092"
"45","03d","11815093","12065092"
"46","03c","12065093","12315092"
"47","03b","12315093","12565092"
"48","03a","12565093","12810126"
"49","02c","12810127","13065092"
"50","02b","13065093","13315092"
"51","02a","13315093","13546510"
"52","04e","13546511","13823733"
"53","04d","13823734","14073733"
"54","04c","14073734","14323733"
"55","04b","14323734","14573733"
"56","04a","14573734","14755131"
"57","12a","14755132","15149498"
"58","11e","15149499","15550945"
"59","11d","15550946","15800945"
"60","11c","15800946","16050945"
"61","11b","16050946","16300945"
"62","11a","16300946","16644594"
"63","10b","16644595","17050945"
"64","10a","17050946","17468564"
"65","06a","17468565","17728080"
"66","14a","17728081","1.8e+07"
"67","14b","18000001","18250000"
"68","14c","18250001","18500000"
"69","14d","18500001","18750000"
"70","14e","18750001","1.9e+07"
"71","14f","19000001","19250000"
"72","14g","19250001","19500000"
"73","14h","19500001","19787792"
